# 1950, 3852
2.559068e+03 2.745092e+00 -1.448856e+00
2.559089e+03 2.710276e+00 -1.449751e+00
2.559109e+03 2.675592e+00 -1.450640e+00
2.559129e+03 2.641040e+00 -1.451521e+00
2.559150e+03 2.606619e+00 -1.452394e+00
2.559170e+03 2.572331e+00 -1.453260e+00
2.559191e+03 2.538173e+00 -1.454118e+00
2.559211e+03 2.504146e+00 -1.454969e+00
2.559232e+03 2.470251e+00 -1.455812e+00
2.559252e+03 2.436486e+00 -1.456648e+00
2.559272e+03 2.402851e+00 -1.457476e+00
2.559293e+03 2.369347e+00 -1.458297e+00
2.559313e+03 2.335972e+00 -1.459110e+00
2.559334e+03 2.302728e+00 -1.459915e+00
2.559354e+03 2.269613e+00 -1.460713e+00
2.559375e+03 2.236628e+00 -1.461503e+00
2.559395e+03 2.203771e+00 -1.462285e+00
2.559415e+03 2.171044e+00 -1.463060e+00
2.559436e+03 2.138445e+00 -1.463827e+00
2.559456e+03 2.105976e+00 -1.464587e+00
2.559477e+03 2.073634e+00 -1.465339e+00
2.559497e+03 2.041421e+00 -1.466083e+00
2.559518e+03 2.009335e+00 -1.466820e+00
2.559538e+03 1.977377e+00 -1.467549e+00
2.559559e+03 1.945547e+00 -1.468270e+00
2.559579e+03 1.913844e+00 -1.468984e+00
2.559599e+03 1.882268e+00 -1.469689e+00
2.559620e+03 1.850820e+00 -1.470387e+00
2.559640e+03 1.819497e+00 -1.471078e+00
2.559661e+03 1.788302e+00 -1.471761e+00
2.559681e+03 1.757232e+00 -1.472435e+00
2.559702e+03 1.726289e+00 -1.473103e+00
2.559722e+03 1.695471e+00 -1.473762e+00
2.559742e+03 1.664779e+00 -1.474414e+00
2.559763e+03 1.634213e+00 -1.475058e+00
2.559783e+03 1.603772e+00 -1.475694e+00
2.559804e+03 1.573456e+00 -1.476322e+00
2.559824e+03 1.543264e+00 -1.476942e+00
2.559845e+03 1.513197e+00 -1.477555e+00
2.559865e+03 1.483255e+00 -1.478160e+00
